,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
miR-1227-3p,3.00E-05,7.56E-05,6.59E-05,0.000266359,9.12E-05,6.18E-05,0.000117884,4.46E-05,0.000161503,2.27E-05,3.25E-05,0.000142387,2.66E-05,0.000275745,0.000153451,0.000110801,4.21E-05,0.000121209,0.000249965,0.000110013,7.02E-05,8.59E-05,8.38E-05,0.000158921,0.000274281,0.000218612
miR-1228-3p,3.60E-05,0.000118113,0.000103563,0.000279459,0.000205095,0.000111303,0.000229032,9.15E-05,0.000382821,4.29E-05,2.94E-05,0.000192911,3.38E-05,0.000440369,0.00010695,0.000103652,6.22E-05,3.95E-05,0.000456667,0.000120014,3.36E-05,0.000193179,0.000251429,0.000500602,0.002019707,0.000414452
miR-1229-3p,3.00E-05,0.000160634,6.59E-05,0.000205228,4.56E-05,8.90E-05,0.000181878,7.51E-05,0.000717789,1.26E-05,4.18E-05,6.89E-05,4.83E-05,0.000333364,5.12E-05,6.43E-05,5.12E-05,5.27E-05,0.000346106,0.000183355,3.66E-05,9.12E-05,0.000128508,0.000202625,0.001134527,0.000255047
miR-1229-5p,2.70E-05,0.000231502,0.000225956,0.000288192,0.000686907,0.000128617,0.000468168,0.000136141,0.000657973,2.27E-05,5.58E-05,0.000643037,3.14E-05,0.000218127,8.37E-05,0.000117949,7.50E-05,7.64E-05,0.000485509,7.33E-05,5.19E-05,0.00015025,0.001497399,0.001195882,0.000548562,0.000892666
miR-1231,1.50E-05,8.03E-05,5.88E-05,3.93E-05,4.23E-05,3.96E-05,5.39E-05,7.04E-06,0.000137576,5.04E-06,3.10E-06,0.000114828,2.41E-06,9.47E-05,3.72E-05,1.43E-05,2.19E-05,5.53E-05,0.000163439,1.67E-05,3.05E-06,3.76E-05,0.000217905,0.000190705,0.0002161,0.000163959
miR-1233-3p,9.00E-06,0.000174808,6.36E-05,0.000205228,8.79E-05,4.95E-05,9.09E-05,4.23E-05,0.000155521,1.26E-05,4.03E-05,0.000101049,1.45E-05,0.000337479,0.00011625,8.22E-05,3.29E-05,8.43E-05,0.000523965,0.000136683,1.53E-05,0.000134152,0.000139683,0.000139056,0.000207789,0.000191286
miR-1234-3p,6.90E-05,0.000373238,0.000207127,0.000659348,0.000325548,0.000160771,0.00034018,0.000194822,0.001142481,7.06E-05,7.59E-05,0.000358263,5.07E-05,0.000432138,0.000492902,0.00018586,0.000115216,0.000163368,0.000648948,0.000453388,0.000115917,0.000311232,0.000424636,0.000508548,0.001117903,0.000564748
miR-1236-3p,6.00E-06,4.25E-05,1.65E-05,3.93E-05,3.91E-05,5.69E-05,3.37E-05,3.05E-05,0.000173466,5.04E-06,1.24E-05,7.81E-05,2.41E-06,4.53E-05,1.40E-05,3.93E-05,7.32E-06,1.05E-05,3.85E-05,2.33E-05,2.44E-05,1.61E-05,6.15E-05,8.74E-05,0.000211945,0.000122969
miR-1236-5p,1.20E-05,0.000113389,8.71E-05,0.000117897,0.000335315,0.000136037,0.000306498,6.81E-05,0.001088647,1.76E-05,3.56E-05,0.000404194,1.69E-05,1.65E-05,8.37E-05,5.72E-05,3.29E-05,2.90E-05,0.000105754,2.67E-05,1.22E-05,9.12E-05,0.001162161,0.000643631,0.000477914,0.000924547
miR-1237-3p,3.30E-05,5.20E-05,7.77E-05,0.000100431,3.26E-05,3.46E-05,6.74E-05,2.35E-05,0.000107668,2.27E-05,3.10E-05,1.38E-05,1.45E-05,9.05E-05,0.000158101,6.08E-05,1.83E-05,1.58E-05,0.000120176,0.000106679,3.36E-05,9.12E-05,5.03E-05,5.96E-05,0.000182854,0.000104752
miR-1237-5p,0.003433438,0.022994316,0.020329002,0.049809182,0.012188532,0.010249789,0.012852726,0.016099805,0.034651274,0.002579386,0.003444648,0.01483118,0.002093399,0.03579748,0.026872445,0.010636891,0.004061807,0.027759406,0.064543886,0.041628329,0.004066231,0.040368971,0.030735793,0.014632673,0.038744291,0.015967791
